"Qty";"Value";"Device";"Package";"Parts";"Description";"ALLIED_NUMBER";"ARROW_PART_NUMBER";"ARROW_PRICE-STOCK";"ARROW_PRICE/STOCK";"DESCRIPTION";"HEIGHT";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"RS";"RS_PART_NUMBER";"RS_PRICE-STOCK";"RS_PRICE/STOCK";"SPICEPREFIX";"TP_SIGNAL_NAME";
"1";"PIC32MX274F256DT-I_PT";"PIC32MX274F256DT-I_PT";"QFP80P1200X1200X120-44N";"IC1";"32-bit Microcontrollers - MCU 256KB Flash, 64KB RAM, 10-Bit ADC, UART, SPI/I2S, I2C + VBATT Pin, USB";"";"PIC32MX274F256DT-I/PT";"";"";"32-bit Microcontrollers - MCU 256KB Flash, 64KB RAM, 10-Bit ADC, UART, SPI/I2S, I2C + VBATT Pin, USB";"1.2mm";"Microchip";"PIC32MX274F256DT-I/PT";"";"";"";"";"";"";"";"";"";"";
"1";"PTS645VJM61LFS";"PTS645VJM61LFS";"PTS645VJM61LFS";"S1";"Tactile Switches Tact";"";"PTS645VJM61LFS";"";"";"Tactile Switches Tact";"7mm";"C & K COMPONENTS";"PTS645VJM61LFS";"";"";"";"";"";"";"";"";"";"";
"1";"Right";"B2B-XH-A(LF)(SN)";"SHDR2W64P0X250_1X2_740X575X700";"J5";"JST XH Series, 2.5mm Pitch 2 Way 1 Row Straight PCB Header, Solder Termination, 3A";"";"B2B-XH-A(LF)(SN)";"";"https://www.arrow.com/en/products/b2b-xh-a-lf-sn/jst-manufacturing";"JST XH Series, 2.5mm Pitch 2 Way 1 Row Straight PCB Header, Solder Termination, 3A";"7mm";"JST (JAPAN SOLDERLESS TERMINALS)";"B2B-XH-A(LF)(SN)";"";"";"";"";"";"1667312";"";"http://uk.rs-online.com/web/p/products/1667312";"";"";
"1";"Right_sens";"B4B-XH-A(LF)(SN)";"SHDR4W64P0X250_1X4_1240X575X70";"J4";"XH-2.5mm Header top entry 4 way JST XH Series, Series Number B4B, 2.5mm Pitch 4 Way 1 Row Straight PCB Header, Solder Termination, 3A";"";"B4B-XH-A(LF)(SN)";"";"https://www.arrow.com/en/products/b4b-xh-a-lf-sn/jst-manufacturing";"XH-2.5mm Header top entry 4 way JST XH Series, Series Number B4B, 2.5mm Pitch 4 Way 1 Row Straight PCB Header, Solder Termination, 3A";"7mm";"JST (JAPAN SOLDERLESS TERMINALS)";"B4B-XH-A(LF)(SN)";"";"";"";"";"";"1724913";"";"http://uk.rs-online.com/web/p/products/1724913";"";"";
"1";"SN65220DBVRG4";"SN65220DBVRG4";"SOT95P280X145-6N";"IC2";"ESD Suppressors / TVS Diodes Sngl Port Transient Suppressor";"";"SN65220DBVRG4";"";"https://www.arrow.com/en/products/sn65220dbvrg4/texas-instruments";"ESD Suppressors / TVS Diodes Sngl Port Transient Suppressor";"1.45mm";"Texas Instruments";"SN65220DBVRG4";"";"";"";"";"";"";"";"";"";"";
"2";"SN74AHC1G08DBVR";"SN74AHC1G08DBVR";"SOT95P280X145-5N";"U1, U2";"Texas Instruments SN74AHC1G08DBVR, 2-Input AND Logic Gate, 2  5.5 V, 5-Pin SOT-23";"";"SN74AHC1G08DBVR";"https://www.arrow.com/en/products/sn74ahc1g08dbvr/texas-instruments";"";"Texas Instruments SN74AHC1G08DBVR, 2-Input AND Logic Gate, 2  5.5 V, 5-Pin SOT-23";"1.45mm";"Texas Instruments";"SN74AHC1G08DBVR";"";"";"";"";"";"1218343";"http://uk.rs-online.com/web/p/products/1218343";"";"";"";
"1";"TPB1,27";"TPB1,27";"B1,27";"TP12";"Test pad";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"BT_KEY";
"1";"TPB1,27";"TPB1,27";"B1,27";"TP11";"Test pad";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"BT_RST";
"1";"TPB1,27";"TPB1,27";"B1,27";"TP10";"Test pad";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"BT_RX";
"1";"TPB1,27";"TPB1,27";"B1,27";"TP9";"Test pad";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"BT_TX";
"1";"TPB1,27";"TPB1,27";"B1,27";"TP17";"Test pad";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"TP_!CHG";
"1";"TPB1,27";"TPB1,27";"B1,27";"TP16";"Test pad";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"TP_!PGOOD";
"1";"TPB1,27";"TPB1,27";"B1,27";"TP22";"Test pad";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"TP_3V3";
"1";"TPB1,27";"TPB1,27";"B1,27";"TP23";"Test pad";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"TP_5V";
"1";"TPB1,27";"TPB1,27";"B1,27";"TP13";"Test pad";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"TP_BAT";
"1";"TPB1,27";"TPB1,27";"B1,27";"TP14";"Test pad";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"TP_BAT2";
